owner,repo,maintenance,contribution,popularity,code_quality,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contributor_participation,code_contribution,contributor_growth,stars_and_watches,forks,project_maturity,downstream_dependents,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity
pvorb,node-clone,1.7220833333333334,0.7022222222222223,1.7725,3.2844444444444445,,,2.4833333333333334,4.405,2.106666666666667,,,0.04,0.02,4.04,2.99,7.663333333333334,,2.19,0.2540740740740741
SBoudrias,Inquirer.js,5.291458333333333,1.1644444444444442,1.8325,2.8383333333333334,9.123333333333331,5.0025,3.74,3.3,2.603333333333333,0.24,0.65,0.87,0.16,3.62,2.68,7.37,0.365,0.78,0.7314814814814814
jshttp,etag,1.3075,0.7599999999999999,2.72875,3.2994444444444446,,,1.42,3.81,2.28,,,0.01,,3.045,7.86,9.273333333333332,,0.625,
dominictarr,through,2.31125,0.7599999999999999,1.865,3.03,,,1.4800000000000002,7.765,2.28,,,0.03,0.01,3.75,3.67,7.890000000000001,,1.2,0.2666666666666666
pillarjs,parseurl,1.27625,0.7599999999999999,2.74625,3.347777777777777,,,1.42,3.685,2.28,,,0.01,,3.175,7.8,9.263333333333334,,0.78,
Raynos,xtend,2.0308333333333333,0.7599999999999999,2.4125,3.357777777777778,,,1.5333333333333334,6.59,2.28,,,0.01,0.01,3.79,5.84,8.613333333333333,,1.46,0.2599999999999999
petkaantonov,bluebird,2.8920833333333333,0.7611111111111111,2.5200000000000005,2.676666666666667,5.62,,2.2233333333333336,3.725,2.283333333333333,,,0.93,0.3,3.49,5.36,7.07,,0.96,0.6637037037037038
jshttp,type-is,1.3333333333333337,0.7599999999999999,2.6225,3.455555555555556,,,1.5233333333333334,3.81,2.28,,,0.01,,3.27,7.21,9.066666666666666,,1.3,
jestjs,jest,5.381875,2.686666666666666,2.49,4.323888888888889,8.413333333333334,5.3625,5.646666666666666,2.105,4.4,0.96,2.7,1.98,0.81,3.5,3.67,7.886666666666667,2.13,2.955,1.825555555555556
webpack,webpack,5.19,1.8733333333333333,3.48625,3.2788888888888894,7.576666666666667,5.065,4.453333333333333,3.665,3.67,0.7799999999999999,1.17,2.91,1.11,4.355,5.57,7.926666666666667,0.645,1.265,1.9644444444444444
sindresorhus,arrify,2.7295833333333333,0.9355555555555556,1.37,2.878888888888889,,,2.9133333333333336,8.004999999999999,2.806666666666666,,,0.01,,2.85,2.62,7.536666666666666,,1.1,
fb55,htmlparser2,4.938541666666668,1.1416666666666666,2.19125,2.9633333333333334,8.756666666666668,5.1875,2.19,3.62,2.7,0.595,0.13,0.19,0.05,4.065,4.46,7.95,0.135,0.805,0.4605555555555555
justmoon,node-extend,3.676250000000001,0.8777777777777778,0.96625,2.5694444444444446,8.32,,2.06,4.325,2.6333333333333333,,,0.02,0.01,3.835,,6.663333333333334,,1.045,0.3025925925925926
typescript-eslint,typescript-eslint,4.977291666666667,3.693333333333333,1.645,4.925000000000001,8.82,5.8475,4.176666666666667,1.065,5.419999999999999,1.96,3.7,0.65,0.33,1.84,3.76,6.7,6.205,1.87,1.5577777777777777
jonschlinkert,word-wrap,5.947708333333335,1.1377777777777778,1.80125,3.1088888888888886,9.956666666666669,4.9575000000000005,1.7966666666666669,7.08,3.353333333333333,0.02,0.04,0.01,0.01,3.155,4.03,8.006666666666666,0.02,1.3,0.3859259259259259
primus,eventemitter3,4.1120833333333335,1.117222222222222,2.24,3.345,8.853333333333333,2.465,1.42,3.71,3.3466666666666662,0.005,,0.15,0.03,3.36,5.42,8.47,,1.565,0.4324074074074073
isaacs,node-tar,4.5685416666666665,1.1183333333333334,1.0625,2.4377777777777783,7.533333333333334,2.5025,2.533333333333333,5.705,3.35,0.005,,0.04,0.02,4.19,,6.663333333333334,0.005,0.645,0.3927777777777778
oozcitak,xmlbuilder-js,1.0825,1.1111111111111112,1.415,2.508888888888889,,,1.5599999999999998,2.77,3.333333333333333,,,0.04,0.01,4.34,1.27,6.786666666666666,,0.74,0.387037037037037
nodeca,pako,3.29875,1.1155555555555554,1.78375,2.872777777777777,7.913333333333334,,1.6666666666666667,3.615,3.3466666666666662,,,0.24,0.1,3.215,3.58,7.833333333333333,,0.785,0.4851851851851851
npm,npmlog,3.428541666666666,1.150555555555555,1.63625,3.007222222222222,,4.8675,4.646666666666666,4.2,3.3466666666666662,0.065,0.04,0.02,0.01,3.785,2.73,7.576666666666667,0.035,1.41,0.3935185185185184
zertosh,loose-envify,1.1366666666666667,1.1111111111111112,2.20375,3.095,,,1.5066666666666668,3.04,3.333333333333333,,,0.01,,2.665,6.14,8.709999999999999,,0.575,
isaacs,json-stringify-safe,1.79625,1.1111111111111112,1.78125,2.895,,,1.4800000000000002,5.705,3.333333333333333,,,0.02,0.01,3.535,3.56,7.85,,0.835,0.3803703703703704
facebook,prop-types,4.509166666666666,1.116111111111111,1.79875,3.3633333333333333,9.046666666666669,2.485,3.59,2.915,3.3433333333333333,0.005,,0.2,0.05,2.115,4.83,7.43,,2.66,0.4553703703703703
crypto-browserify,randombytes,0.4166666666666667,1.1111111111111112,2.13,3.281111111111111,,,1.6666666666666667,,3.333333333333333,,,,0.01,2.88,5.63,8.543333333333333,,1.3,
maxogden,concat-stream,0.4025,1.1111111111111112,1.88375,3.109444444444444,,,1.61,,3.333333333333333,,,0.03,0.01,3.725,3.77,7.923333333333333,,1.405,0.3837037037037037
terkelg,prompts,3.139375,1.16,1.46,3.226111111111111,4.91,2.4775,2.8000000000000003,2.37,3.3800000000000003,0.01,0.09,0.39,0.04,1.84,3.57,7.803333333333334,0.045,1.83,0.5299999999999999
sindresorhus,component-emitter,5.2925,1.132222222222222,2.04,3.3683333333333327,9.823333333333332,0.005,3.3366666666666664,8.004999999999999,3.3466666666666662,0.01,0.04,0.03,0.02,3.81,4.3,8.1,0.02,1.985,0.394074074074074
jsdom,jsdom,4.648125,1.285,2.35,3.1777777777777776,7.846666666666668,4.8275,2.833333333333333,3.085,3.5500000000000003,0.135,0.17,0.9,0.21,4.65,3.64,7.843333333333334,0.095,1.595,0.7983333333333333
mcavage,node-assert-plus,1.54625,1.1111111111111112,1.8025,3.039444444444444,,,1.87,4.315,3.333333333333333,,,0.01,,3.76,3.44,7.813333333333333,,1.305,
Marak,colors.js,2.523333333333333,1.1133333333333333,1.1875,2.719444444444445,4.433333333333334,,1.8500000000000003,3.81,3.34,,,0.23,0.06,4.46,,6.383333333333333,,1.775,0.4677777777777778
tj,co,1.6920833333333334,1.1111111111111112,2.1412500000000003,3.330555555555556,,,1.8233333333333333,4.945,3.333333333333333,,,0.54,0.11,3.435,4.48,8.156666666666666,,1.835,0.5870370370370371
facebook,react,5.236249999999999,2.805555555555556,6.37375,2.480555555555556,8.006666666666666,5.69,4.333333333333333,2.915,4.896666666666667,1.82,1.7,10.0,5.72,3.565,6.21,2.8166666666666664,1.365,3.26,6.175185185185185
moment,moment,4.321875,1.1888888888888889,2.19625,3.109444444444444,7.066666666666666,4.3575,2.1733333333333333,3.69,3.4466666666666668,0.08,0.04,2.18,0.9,4.215,1.49,7.023333333333333,0.02,2.285,1.422962962962963
dchest,tweetnacl-js,4.152916666666667,1.1133333333333333,0.84625,2.3172222222222225,9.993333333333334,,2.2433333333333336,4.375,3.34,,,0.08,0.04,3.265,,6.326666666666667,,0.625,0.4111111111111111
webpack-contrib,css-loader,4.401458333333333,1.323888888888889,2.2425,2.8177777777777777,6.599999999999999,4.8175,2.623333333333333,3.565,3.4966666666666666,0.0849999999999999,0.39,0.19,0.08,3.93,4.77,7.383333333333333,0.205,0.865,0.5312962962962963
inspect-js,node-deep-equal,4.130833333333333,1.1244444444444444,2.01375,3.080555555555556,9.163333333333334,2.515,2.66,2.185,3.3433333333333333,0.03,,0.03,0.02,3.885,4.12,8.036666666666667,0.005,1.2,0.3914814814814815
sindresorhus,file-type,6.321249999999999,1.2477777777777777,1.0125,2.773888888888889,8.886666666666665,4.54,3.853333333333333,8.004999999999999,3.4633333333333334,0.02,0.26,0.16,0.04,3.22,0.63,6.876666666666668,0.135,1.31,0.4825925925925925
defunctzombie,node-url,3.858541666666667,1.116111111111111,0.8075,2.533333333333333,8.953333333333335,0.0025,1.5333333333333334,4.945,3.3433333333333333,0.005,,0.02,0.01,3.2,,6.66,,0.94,0.382037037037037
joyent,node-verror,1.1479166666666667,1.1111111111111112,1.82875,2.8816666666666664,,,2.2666666666666666,2.325,3.333333333333333,,,0.05,0.01,3.825,3.43,7.81,,0.835,0.3903703703703704
import-js,eslint-plugin-import,4.911875,1.4727777777777775,1.8475,3.3544444444444443,8.049999999999999,4.9975000000000005,4.34,2.26,3.793333333333333,0.145,0.48,0.24,0.2,2.89,4.06,7.903333333333333,0.31,1.85,0.6375925925925925
nodejs,,3.787916666666667,1.1366666666666665,1.81125,3.2694444444444444,3.333333333333333,5.0,3.293333333333333,3.525,3.36,0.01,0.04,0.15,0.06,3.395,3.64,7.873333333333334,0.02,1.915,0.4488888888888888
shtylman,node-process,0.37,1.1133333333333333,0.8975,2.881111111111112,,,1.4800000000000002,,3.34,,,0.01,0.01,3.57,,6.663333333333334,,1.98,0.3777777777777777
digitalbazaar,forge,3.630833333333333,1.1338888888888887,1.18625,2.586666666666667,6.3133333333333335,,3.47,4.74,3.3966666666666665,0.005,,0.22,0.1,4.425,,6.640000000000001,,1.12,0.4846296296296296
sindresorhus,got,5.9641666666666655,1.2,1.47625,3.2616666666666667,7.38,4.875,3.5966666666666662,8.004999999999999,3.45,0.02,0.13,0.63,0.12,3.325,1.83,7.27,0.07,2.445,0.65
postcss,autoprefixer,5.005,1.1788888888888889,2.6225,3.257222222222223,9.32,4.875,2.54,3.285,3.3866666666666667,0.02,0.13,0.97,0.16,3.75,5.61,8.496666666666668,0.065,1.21,0.7696296296296298
webpack,webpack-dev-middleware,5.239999999999999,1.288888888888889,2.18625,3.077222222222222,7.763333333333333,5.034999999999999,4.496666666666667,3.665,3.376666666666667,0.36,0.13,0.11,0.04,3.795,4.8,7.586666666666666,0.105,1.54,0.4796296296296297
TypeStrong,ts-node,5.43875,1.1994444444444443,1.2049999999999998,2.1622222222222223,6.993333333333332,4.680000000000001,7.166666666666667,2.915,3.483333333333333,0.025,0.09,0.57,0.07,2.88,1.3,5.6066666666666665,0.075,0.805,0.6131481481481481
sindresorhus,ora,6.313541666666666,1.136111111111111,1.1975,3.489444444444445,9.043333333333331,5.0025,3.203333333333333,8.004999999999999,3.3633333333333333,0.005,0.04,0.4,0.04,2.53,1.82,7.273333333333333,0.02,3.175,0.5253703703703704
visionmedia,node-progress,1.4775,1.1111111111111112,1.08375,2.8472222222222228,,,1.47,4.44,3.333333333333333,,,0.13,0.04,4.165,,6.666666666666667,,1.875,0.427037037037037
Gozala,querystring,2.3741666666666665,1.1111111111111112,1.8775,2.9227777777777777,,2.5,1.5066666666666668,5.49,3.333333333333333,,,0.01,0.01,4.17,3.32,7.773333333333333,,0.995,0.377037037037037
mishoo,UglifyJS,4.0372916666666665,1.1294444444444445,1.1975,3.0372222222222227,3.81,5.0125,3.4466666666666668,3.88,3.353333333333333,0.035,,0.59,0.17,4.03,,6.666666666666667,1.27,1.175,0.6298148148148148
mathiasbynens,he,4.279999999999999,1.1111111111111112,2.04875,2.9922222222222223,10.0,,1.7700000000000002,5.35,3.333333333333333,,,0.15,0.03,3.415,4.6,8.196666666666667,,0.78,0.4303703703703703
expressjs,compression,1.97875,1.1111111111111112,2.19875,3.268333333333334,2.306666666666666,,1.903333333333333,3.705,3.333333333333333,,,0.12,0.03,3.2750000000000004,5.37,8.450000000000001,,1.355,0.4203703703703704
dcodeIO,long.js,2.52625,1.116111111111111,0.8999999999999999,2.473888888888889,3.3000000000000003,2.215,1.5599999999999998,3.03,3.3433333333333333,0.005,,0.04,0.03,3.53,,6.516666666666667,0.015,0.89,0.3953703703703703
webpack,memory-fs,1.2379166666666668,1.1111111111111112,1.4775,2.944444444444444,,,1.2866666666666668,3.665,3.333333333333333,,,0.04,0.01,3.07,2.79,6.953333333333333,,1.88,0.387037037037037
arcanis,jest-pnp-resolver,1.09375,1.1111111111111112,1.21125,2.876111111111112,,,1.0399999999999998,3.335,3.333333333333333,,,,,1.615,3.23,7.743333333333333,,0.885,
unshiftio,url-parse,1.3558333333333334,1.1111111111111112,1.73,3.173888888888889,,,1.8533333333333333,3.57,3.333333333333333,,,0.05,0.01,2.97,3.89,7.956666666666667,,1.565,0.3903703703703704
sindresorhus,meow,6.359166666666667,1.14,1.21625,2.940555555555556,9.423333333333334,4.965,3.043333333333333,8.004999999999999,3.36,0.02,0.04,0.16,0.02,3.0050000000000003,1.68,7.226666666666667,0.025,1.57,0.4399999999999999
Leonidas-from-XIV,node-xml2js,4.175833333333333,1.1211111111111112,1.17875,3.333888888888888,7.0200000000000005,4.66,2.023333333333333,3.0,3.353333333333333,0.01,,0.22,0.07,4.425,,6.456666666666666,,3.545,0.4703703703703704
babel,babel-loader,4.871875,1.172222222222222,2.035,3.35,8.613333333333335,4.8025,3.0866666666666664,2.985,3.3966666666666665,0.03,0.09,0.22,0.06,3.03,4.83,7.75,0.0499999999999999,2.25,0.484074074074074
iamkun,dayjs,3.9610416666666666,1.608888888888889,1.2574999999999998,2.292777777777778,6.756666666666667,4.6275,3.01,1.45,3.9766666666666666,0.15,0.7,2.07,0.28,1.91,0.77,4.613333333333333,0.355,1.91,1.3196296296296297
date-fns,date-fns,4.345833333333333,1.597777777777778,1.4400000000000002,2.932777777777778,7.713333333333334,4.425,3.5500000000000003,1.6949999999999998,3.893333333333333,0.29,0.61,1.52,0.22,3.12,0.9,6.373333333333334,0.355,2.0700000000000003,1.1125925925925928
request,request,4.613958333333334,1.1288888888888888,2.3075,3.5700000000000003,6.513333333333333,5.0025,3.42,3.52,3.376666666666667,0.01,,1.17,0.4,4.25,3.41,7.79,,2.9200000000000004,0.8996296296296294
Qix-,color,2.4141666666666666,1.1122222222222222,1.77125,3.3405555555555555,3.33,,2.1366666666666667,4.19,3.3366666666666664,,,0.21,0.04,4.125,2.71,7.566666666666666,,2.455,0.4540740740740741
sindresorhus,get-stdin,4.4279166666666665,1.1111111111111112,1.285,2.887777777777778,6.663333333333334,,3.043333333333333,8.004999999999999,3.333333333333333,,,0.02,,3.2,1.92,7.303333333333334,,1.36,
puleos,object-hash,3.4850000000000003,1.1111111111111112,1.7000000000000002,3.056666666666666,9.863333333333337,,1.8766666666666667,2.2,3.333333333333333,,,0.06,0.02,3.18,3.54,7.29,,1.88,0.3970370370370371
svg,svgo,4.845416666666667,1.5833333333333333,2.28125,3.101111111111112,8.346666666666666,5.015,3.78,2.24,3.66,0.39,0.7,0.92,0.17,3.775,4.26,7.813333333333333,0.37,1.12,0.8911111111111111
webpack-contrib,style-loader,4.698541666666667,1.1627777777777777,2.02875,2.827777777777777,8.07,4.642500000000001,2.516666666666667,3.565,3.373333333333333,0.025,0.09,0.07,0.06,3.885,4.1,7.153333333333333,0.0499999999999999,1.28,0.4309259259259259
mridgway,hoist-non-react-statics,1.37,1.1111111111111112,1.23,2.7438888888888884,,,1.5599999999999998,3.92,3.333333333333333,,,0.08,0.01,2.76,2.07,5.676666666666667,,2.555,0.4003703703703704
ljharb,shell-quote,4.594791666666667,1.115,0.05625,2.6911111111111112,7.496666666666667,5.0025,2.7099999999999995,3.17,3.34,0.005,,,,0.225,,6.663333333333334,,1.41,
clean-css,clean-css,4.542708333333334,1.2233333333333334,2.20875,2.99,7.166666666666667,4.7925,3.366666666666667,2.845,3.43,0.02,0.22,0.19,0.04,4.215,4.39,8.09,0.115,0.765,0.4844444444444444
jsx-eslint,eslint-plugin-react,4.754999999999999,1.5477777777777777,1.99125,4.496666666666666,8.313333333333333,4.925,3.076666666666666,2.705,3.733333333333333,0.13,0.78,0.4,0.35,3.135,4.08,8.0,0.45,5.04,0.7659259259259259
mdevils,html-entities,1.80625,1.1122222222222222,2.09875,2.9711111111111106,2.72,,1.4800000000000002,3.0250000000000004,3.3366666666666664,,,0.03,0.02,3.555,4.79,8.073333333333332,,0.84,0.3874074074074074
immutable-js,immutable-js,4.701458333333334,1.2044444444444442,1.22125,2.271111111111112,7.913333333333334,4.9875,2.3000000000000003,3.605,3.393333333333333,0.09,0.13,1.5,0.23,3.155,,5.783333333333334,0.07,0.96,0.978148148148148
webpack-contrib,postcss-loader,4.511041666666666,1.2055555555555555,1.92875,2.9133333333333336,7.1433333333333335,4.7925,2.543333333333333,3.565,3.4066666666666667,0.04,0.17,0.13,0.03,3.045,4.51,7.46,0.09,1.19,0.4551851851851852
mcollina,split2,4.284583333333334,1.1111111111111112,0.91875,2.883888888888889,9.993333333333334,,1.98,5.165,3.333333333333333,,,0.01,,3.185,0.48,6.826666666666667,,1.825,
TypeStrong,fork-ts-checker-webpack-plugin,5.015833333333333,1.2255555555555555,1.31,2.5650000000000004,6.986666666666667,4.034999999999999,6.126666666666666,2.915,3.4266666666666663,0.03,0.22,0.09,0.03,2.37,2.75,6.580000000000001,0.11,1.005,0.4485185185185185
unclechu,node-deep-extend,1.11375,1.1111111111111112,1.0212499999999998,2.638888888888889,,,1.4,3.055,3.333333333333333,,,0.01,0.01,4.055,0.01,6.666666666666667,,1.25,0.377037037037037
rollup,rollup,5.494791666666666,1.87,2.0025,3.263888888888889,8.213333333333333,5.237499999999999,5.703333333333333,2.825,4.0200000000000005,0.55,1.04,1.12,0.18,3.3200000000000003,3.39,7.096666666666667,0.635,2.06,1.0566666666666669
zertosh,invariant,1.143333333333333,1.1111111111111112,1.54,2.8966666666666665,,,1.5333333333333334,3.04,3.333333333333333,,,0.05,0.01,2.99,3.11,7.7,,0.99,0.3903703703703704
http-party,node-http-proxy,4.791666666666667,1.126111111111111,1.3225,2.68,7.0,4.91,2.676666666666667,4.58,3.373333333333333,0.005,,0.62,0.25,4.42,,5.919999999999999,,2.12,0.6653703703703703
lquixada,cross-fetch,3.4541666666666666,1.1505555555555556,0.6775,2.477777777777778,7.0200000000000005,2.12,2.1366666666666667,2.54,3.3666666666666667,0.045,0.04,0.07,0.01,2.01,0.62,6.823333333333333,0.03,0.58,0.4101851851851852
sindresorhus,log-update,2.78875,1.1111111111111112,0.835,2.757222222222222,,,3.15,8.004999999999999,3.333333333333333,,,0.05,,2.69,0.6,6.866666666666667,,1.405,
then,promise,2.359166666666667,1.1111111111111112,1.95625,3.1072222222222226,,3.815,1.9566666666666668,3.665,3.333333333333333,,,0.12,0.04,3.615,4.05,8.016666666666667,,1.305,0.4237037037037037
sindresorhus,del,6.510625,1.13,1.6275,3.3633333333333333,9.953333333333331,4.987500000000001,3.0966666666666662,8.004999999999999,3.35,,0.04,0.06,0.01,3.0900000000000003,3.35,7.78,0.02,2.29,0.3999999999999999
sindresorhus,boxen,5.4608333333333325,1.1522222222222225,1.06875,2.938333333333333,8.323333333333332,2.495,3.02,8.004999999999999,3.3666666666666667,,0.09,0.07,0.01,2.585,1.61,7.2,0.045,1.57,0.4107407407407408
maxogden,extract-zip,0.5083333333333334,1.1111111111111112,0.875,2.6638888888888888,,,2.0333333333333337,,3.333333333333333,,,0.02,0.02,2.97,0.49,6.786666666666666,,1.2049999999999998,0.3837037037037037
dominictarr,rc,2.350416666666667,1.1111111111111112,1.5550000000000002,3.1183333333333336,,,1.6366666666666667,7.765,3.333333333333333,,,0.05,0.01,3.72,2.44,7.479999999999999,,1.875,0.3903703703703704
protobufjs,protobuf.js,4.250625,1.221666666666667,1.0487499999999998,2.4644444444444447,6.56,4.7875000000000005,1.55,4.105,3.47,0.065,0.13,0.44,0.18,3.575,,6.403333333333333,0.07,0.92,0.6138888888888889
kriskowal,q,5.455416666666667,1.1155555555555554,2.3925,3.1988888888888893,9.993333333333334,5.0,2.4033333333333333,4.425,3.3366666666666664,0.01,,0.68,0.15,4.38,4.36,8.116666666666667,,1.48,0.6485185185185185
chimurai,http-proxy-middleware,4.1433333333333335,1.1583333333333334,2.03625,2.858888888888889,6.56,4.74,3.863333333333333,1.41,3.39,0.045,0.04,0.47,0.1,2.895,4.68,7.866666666666667,0.025,0.685,0.5761111111111111
jantimon,html-webpack-plugin,4.016666666666667,1.231666666666667,1.88875,2.8777777777777778,6.623333333333332,4.23,2.1633333333333336,3.0500000000000003,3.4600000000000004,0.015,0.22,0.48,0.17,3.035,3.87,7.243333333333333,0.115,1.275,0.6272222222222222
reactjs,react-transition-group,2.772083333333333,1.12,0.95625,1.6077777777777775,6.95,,1.7733333333333334,2.365,3.36,,,0.46,0.08,2.275,1.01,2.883333333333333,,1.94,0.5533333333333333
auth0,node-jsonwebtoken,4.783541666666666,1.1444444444444446,1.0875,2.845,6.996666666666667,4.2125,2.95,4.975,3.4033333333333338,0.03,,0.79,0.15,3.41,,6.65,,1.885,0.6948148148148149
react-bootstrap,dom-helpers,2.749166666666667,1.1111111111111112,0.97125,1.992222222222222,6.62,,1.2866666666666668,3.0900000000000003,3.333333333333333,,,0.02,0.01,2.825,1.03,5.1866666666666665,,0.79,0.3803703703703704
mde,ejs,3.7175,1.1222222222222222,1.6625,2.912777777777778,7.633333333333333,,3.0466666666666664,4.19,3.3666666666666667,,,0.34,0.1,2.94,3.27,7.673333333333333,,1.065,0.5207407407407408
TooTallNate,node-bindings,1.6091666666666666,1.1111111111111112,0.9825,2.708888888888889,,,1.4266666666666667,5.01,3.333333333333333,,,0.02,0.01,3.9,,6.666666666666667,,1.46,0.3803703703703704
hij1nx,EventEmitter2,1.64,1.1133333333333333,1.15,2.706666666666667,3.333333333333333,,3.2266666666666666,,3.34,,,0.13,0.03,4.15,0.29,6.760000000000001,,1.36,0.4244444444444444
sindresorhus,pretty-bytes,3.977083333333333,1.1288888888888888,1.73,3.188333333333333,,4.91,2.9933333333333336,8.004999999999999,3.3466666666666662,,0.04,0.05,0.01,3.21,3.65,7.88,0.02,1.665,0.3962962962962963
webpack-contrib,sass-loader,4.790208333333333,1.2394444444444446,1.93375,2.7688888888888887,8.323333333333332,4.702500000000001,2.57,3.565,3.4333333333333336,0.065,0.22,0.18,0.05,3.305,4.2,7.316666666666666,0.115,0.875,0.4898148148148148
AriaMinaei,pretty-error,1.24,1.1111111111111112,1.785,2.901111111111111,,,1.6900000000000002,3.27,3.333333333333333,,,0.07,0.01,3.3,3.76,7.863333333333333,,0.84,0.3970370370370371
